survey_location,session,birth_year,home_location,sex,caretaker,visit_frequency,relative_type,relative_curr_home_lang,relative_past_home_lang,relative_work_lang,relative_neighbor_lang,relative_partner_lang,relative_family_lang,relative_ethnicity,relative_education,relative_past_home,relative_curr_home,relative_profession,relative_religion,relative_birth_year,relative_first_lang,relative_other_langs
,,,,,,,Istri/Suami,Bahasa Sunda,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,S2,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,PNS,Islam,1971,,
,,,,,,,,,,,,,,,,,,,,,,
#11 5Mar UI,MPNGOZ,1968,Sumatera Barat - Kota Padang,Perempuan,Orang tua,12-24,Ibu,Bahasa Minang,,Bahasa Indonesia,Bahasa Minang,Bahasa Indonesia,Bahasa Minang,Minang,Meises School,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,Perawat,Islam,1929,Bahasa Minang,Bahasa Minang
,,,,,,,Bapak,Bahasa Indonesia,,Bahasa Indonesia,Bahasa Minang,Bahasa Minang,Bahasa Jawa,Jawa,SGB,Jawa Tengah - Kabupaten Klaten,Sumatera Barat - Kota Padang,Polri,Islam,1932,Bahasa Jawa,Bahasa Jawa
,,,,,,,Ibu dari ibu,Bahasa Minang,Bahasa Minang,,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,,Islam,,Bahasa Minang,Bahasa Minang
,,,,,,,Bapak dari ibu,Bahasa Minang,Bahasa Minang,,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,,Islam,,Bahasa Minang,Bahasa Minang
,,,,,,,Ibu dari bapak,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,ibu rumah tangga,Kristen (Protestan),,Bahasa Jawa,Bahasa Jawa
,,,,,,,Bapak dari bapak,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Tengah - Kabupaten Klaten,Jawa Tengah - Kabupaten Klaten,,Islam,,Bahasa Jawa,Bahasa Jawa
,,,,,,,Istri/Suami,"Bahasa Minang, Bahasa Indonesia",Bahasa Minang,Bahasa Indonesia,Bahasa Indonesia,Bahasa Minang,Bahasa Indonesia,Minang,S1,DKI Jakarta,Sumatera Barat - Kota Padang,,Islam,1971,Bahasa Minang,Bahasa Indonesia
,,,,,,,,,,,,,,,,,,,,,,
#10 5Mar UI,YSVVHS,1964,Sumatera Utara - Kabupaten Mandailing Natal,Laki,Orang tua,1-2,Ibu,Bahasa Mandailing,Bahasa Mandailing,Bahasa Mandailing,Bahasa Mandailing,Bahasa Mandailing,Bahasa Mandailing,Mandailing,SD,Sumatera Utara - Kabupaten Mandailing Natal,Sumatera Utara - Kota Medan,Petani,Islam,1925,Bahasa Mandailing,Bahasa Mandailing
,,,,,,,Bapak,,,,,,,,, , ,,,,Bahasa Mandailing,Bahasa Mandailing
,,,,,,,Ibu dari ibu,,Bahasa Mandailing,,,,,Mandailing,,Sumatera Utara - Kabupaten Mandailing Natal, ,,Islam,,Bahasa Mandailing,Bahasa Mandailing
,,,,,,,Bapak dari ibu,,Bahasa Mandailing,,,,,Mandailing,,Sumatera Utara - Kabupaten Mandailing Natal, ,,Islam,,Bahasa Mandailing,Bahasa Mandailing
,,,,,,,Ibu dari bapak,,Bahasa Mandailing,,,,,Mandailing,,Sumatera Utara - Kabupaten Mandailing Natal, ,,Islam,,Bahasa Mandailing,Bahasa Mandailing
,,,,,,,Bapak dari bapak,,Bahasa Mandailing,,,,,Mandailing,,Sumatera Utara - Kabupaten Mandailing Natal, ,,Islam,,Bahasa Mandailing,Bahasa Indonesia
,,,,,,,Istri/Suami,"Bahasa Mandailing, Bahasa Indonesia",Bahasa Mandailing,Bahasa Indonesia,Bahasa Indonesia,Bahasa Mandailing,"Bahasa Mandailing, Bahasa Indonesia",Mandailing,S1,Sumatera Utara - Kota Padangsidempuan,Sumatera Utara - Kota Medan,swasta,Islam,1971,,
,,,,,,,,,,,,,,,,,,,,,,
#9 5Mar UI,KTXAPZ,1986,Jawa Barat - Kota Bekasi,Laki,Ibu,lebih dari 24,Ibu,,Bahasa Betawi,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Betawi,Sarjana,Jawa Barat - Kota Bekasi,Jawa Barat - Kota Bekasi,,Islam,1969,Bahasa Betawi,"Bahasa Arab, Bahasa Jawa"
,,,,,,,Bapak,,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",Sunda,Sarjana,Jawa Barat - Kota Cirebon,Jawa Barat - Kota Bekasi,,Islam,1966,Bahasa Sunda,Bahasa Arab
,,,,,,,Ibu dari ibu,,Bahasa Betawi,,,,,Betawi,, , ,,Islam,1910,,
,,,,,,,Bapak dari ibu,,Bahasa Betawi,,,,,Betawi,, , ,,Islam,1914,,
,,,,,,,Ibu dari bapak,,Bahasa Sunda,,,,,Sunda,, , ,,Islam,1910,,
,,,,,,,Bapak dari bapak,,Bahasa Sunda,,,,,Sunda,, , ,,Islam,1910,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#4 5Mar UI,URPLCK,1970,DKI Jakarta,Laki,Orang tua,3-5,Ibu,Bahasa Indonesia,Bahasa Betawi,,"Bahasa Indonesia, Bahasa Betawi",Bahasa Indonesia,Bahasa Indonesia,"Betawi, Arab",SMP,DKI Jakarta,DKI Jakarta,,Islam,1936,Bahasa Betawi,Bahasa Indonesia
,,,,,,,Bapak,Bahasa Indonesia,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa, Bahasa Arab",Arab,Akademi Perawatan,Jawa Tengah - Kota Tegal,DKI Jakarta,,Islam,1928,Bahasa Jawa,Bahasa Arab
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,Bahasa Bangka,"Bahasa Indonesia, Bahasa Inggris, Bahasa Sunda, Bahasa Belanda"
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,Bahasa Indonesia,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,Bahasa Indonesia,"Bahasa Bangka, Bahasa Sunda","Bahasa Indonesia, Bahasa Inggris",Bahasa Indonesia,Bahasa Bangka,Bahasa Bangka,Bangka,S1,#NAME?,Jawa Barat - Kota Depok,Pustakawati,Islam,1972,,
,,,,,,,Anak Anda,Bahasa Indonesia,Bahasa Indonesia,,Bahasa Indonesia,,Bahasa Indonesia,,SD, ,Jawa Barat - Kota Depok,,,2003,,
#6 5Mar UI,WXOJJO,1974,DKI Jakarta - Kota Administrasi Jakarta Timur,Perempuan,Orang tua,12-24,Ibu,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Jawa, Bahasa Indonesia",Jawa,,#NAME?,DKI Jakarta,Ibu rumah tangga,Islam,1931,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Bapak,Bahasa Betawi,Bahasa Betawi,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Betawi",Betawi,HIS,DKI Jakarta,DKI Jakarta,Wiraswasta,Islam,1930,Bahasa Betawi,Bahasa Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,Bahasa Indonesia,Bahasa Jawa
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,"Bahasa Indonesia, Bahasa Inggris","Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa",Jawa,S1,DKI Jakarta,Jawa Barat - Kota Depok,Karyawan,Islam,1974,,
,,,,,,,,,,,,,,,,,,,,,,
#7 5Mar UI,USZMFP,1972,Banten - Kota Tangerang,Perempuan,Orang tua,3-5,Ibu,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,SMA,Jawa Timur,Banten - Kota Tangerang,Guru SMA,Islam,1937,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,Sarjana,#NAME?, ,Pegawai negeri,Islam,1934,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Ibu dari ibu,,,,,,,Jawa,, , ,,Islam,,Bahasa Jawa,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#8 5Mar UI,ULRVRU,1985,Jambi - Kota Jambi,Perempuan,Orang tua,3-5,Ibu,Bahasa Jambi,Bahasa Jawa,"Bahasa Jambi, Bahasa Indonesia",Bahasa Jambi,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Jawa,S2,#NAME?,Jambi - Kota Jambi,Dosen,Islam,1962,Bahasa Jawa,Bahasa Jambi
,,,,,,,Bapak,Bahasa Jambi,Bahasa Jawa,"Bahasa Jambi, Bahasa Indonesia",Bahasa Jambi,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Jawa,S3,#NAME?,Jambi - Kota Jambi,Dosen,Islam,1952,Bahasa Jawa,Bahasa Jambi
,,,,,,,Ibu dari ibu,,Bahasa Jawa,,Bahasa Jawa,,Bahasa Jawa,Jawa,SD,#NAME?,#NAME?,,Islam,1920,Bahasa Jawa,Bahasa Jambi
,,,,,,,Bapak dari ibu,,Bahasa Jawa,,,,,Jawa,SMA,#NAME?,#NAME?,Polisi,Islam,1920,Bahasa Jawa,Bahasa Jambi
,,,,,,,Ibu dari bapak,,Bahasa Jawa,,Bahasa Jambi,,Bahasa Jambi,Jawa,SD,#NAME?,Jambi - Kota Jambi,,Islam,1920,Bahasa Jawa,Bahasa Jambi
,,,,,,,Bapak dari bapak,,Bahasa Jawa,,,,,Jawa,SMA,#NAME?,Jambi - Kota Jambi,Pegawai badan pertanahan,Islam,1920,Bahasa Jawa,Bahasa Jambi
,,,,,,,Istri/Suami,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,S1,Jawa Timur - Kota Malang,Jawa Timur - Kota Malang,Dosen,Islam,1976,Bahasa Jawa,
,,,,,,,Anak Anda,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Timur - Kota Malang,Jawa Timur - Kota Malang,,Islam,2007,Bahasa Jawa,
7 Dec UN #1,WDCPKT,42, ,Perempuan,Orang tua,,Ibu,Bahasa Indonesia,Bahasa Jawa,,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,SMEA,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Jawa Barat - Kota Bandung,Ibu rumah tangga,Islam,1947,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Jawa,STM,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Jawa Barat - Kota Bandung,Swasta,Islam,1944,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Ibu dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,petani,Islam,,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Bapak dari ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,petani,Islam,,Bahasa Jawa,
,,,,,,,Ibu dari bapak,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,petani,Islam,,Bahasa Jawa,
,,,,,,,Bapak dari bapak,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,petani,Islam,,Bahasa Sunda,
,,,,,,,Istri/Suami,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",,Bahasa Sunda,Sunda,D3,Jawa Barat - Kabupaten Majalengka,Jawa Barat - Kota Bandung,Wirausaha,Islam,45,Bahasa Jawa,
,,,,,,,,,,,,,,,,,,,,,,
7 Dec UN #2,QNKUEZ,34, ,Perempuan,Orang tua,,Ibu,Bahasa Sunda,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Sunda,Univ,Jawa Barat - Kabupaten Tasikmalaya,Jawa Barat - Kota Bandung,Ibu rumah tangga,Islam,1949,Bahasa Sunda,"Bahasa Indonesia, Bahasa Belanda"
,,,,,,,Bapak,Bahasa Sunda,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Sunda,Univ,Jawa Barat - Kabupaten Tasikmalaya,Jawa Barat - Kota Bandung,PNS,Islam,1946,Bahasa Sunda,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,Ibu dari ibu,,Bahasa Sunda,Bahasa Belanda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Tasikmalaya, ,ibu rumah tangga,Islam,1920,Bahasa Sunda,Bahasa Belanda
,,,,,,,Bapak dari ibu,,Bahasa Sunda,Bahasa Belanda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Tasikmalaya, ,Camat,Islam,1920,Bahasa Sunda,Bahasa Belanda
,,,,,,,Ibu dari bapak,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Tasikmalaya, ,ibu rumah tangga,Islam,1920,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari bapak,,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Tasikmalaya, ,guru,Islam,1920,Bahasa Sunda,Bahasa Belanda
,,,,,,,Istri/Suami,"Bahasa Indonesia, Bahasa Sunda",,"Bahasa Inggris, Bahasa Cina",Bahasa Indonesia,,"Bahasa Indonesia, Bahasa Sunda",Dayak,Univ,Kalimantan Utara - Kabupaten Nunukan,Jawa Barat - Kota Bandung,,Islam,38,Bahasa Indonesia,"Bahasa Inggris, Bahasa Cina"
,,,,,,,,,,,,,,,,,,,,,,
7 Dec UN #3,NFZLNF,27, ,Perempuan,Orang tua,,Ibu,Bahasa Sunda,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Indonesia,"Bahasa Sunda, Bahasa Indonesia",Sunda,S2,Jawa Barat - Kabupaten Sumedang,Jawa Barat - Kabupaten Sumedang,Dosen,Islam,1963,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak,Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Jawa,Jawa,S1,Jawa Barat - Kabupaten Indramayu,Jawa Barat - Kabupaten Indramayu,PNS (guru),Islam,1963,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Ibu dari ibu,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,SR,Jawa Barat - Kabupaten Sumedang,Jawa Barat - Kabupaten Sumedang,Tani,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari ibu,,Bahasa Sunda,,,,,Sunda,SR,Jawa Barat - Kabupaten Sumedang, ,Tani,Islam,,Bahasa Sunda,
,,,,,,,Ibu dari bapak,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Barat - Kabupaten Indramayu,Jawa Barat - Kabupaten Indramayu,Tani,Islam,,Bahasa Jawa,
,,,,,,,Bapak dari bapak,,Bahasa Jawa,,,,,Jawa,,Jawa Barat - Kabupaten Indramayu, ,Tani,Islam,,Bahasa Jawa,
,,,,,,,Istri/Suami,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Inggris",Bahasa Indonesia,,"Bahasa Sunda, Bahasa Indonesia","Sunda, Jawa",S1,Jawa Barat - Kabupaten Majalengka,Jawa Barat - Kabupaten Sumedang,Wiraswasta,Islam,26,Bahasa Sunda,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
7 Dec UN #4,JEYOCX,30, ,Perempuan,Orang tua,,Ibu,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Sunda,SMP,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,Housewife,Islam,1961,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Sunda,SD,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,Pedagang,Islam,1954,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Ibu dari ibu,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,Pendidikan Dasar,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari ibu,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,Pendidikan Dasar,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Ibu dari bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,Pendidikan Dasar,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,Pendidikan Dasar,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Istri/Suami,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,,Bahasa Sunda,Sunda,S1,Jawa Barat - Kabupaten Garut,Jawa Barat - Kota Bandung,,Islam,34,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Anak Anda,,,,,,,,TK,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bandung,,Islam,6,Bahasa Indonesia,Bahasa Sunda
7 Dec UN #5,JTDHGU,51, ,Perempuan,Orang tua,,Ibu,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,SMA,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,ibu rumah tangga,Islam,1933,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak,Bahasa Sunda,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Sunda,Akademik,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bandung,Pegawai swasta,Islam,1932,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Ibu dari ibu,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Garut,Jawa Barat - Kota Bandung,,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari ibu,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,,Islam,,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Ibu dari bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Sunda
,,,,,,,Bapak dari bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Sunda
,,,,,,,Istri/Suami,Bahasa Sunda,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",,Bahasa Sunda,Sunda,S3,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,PNS,Islam,1955,Bahasa Sunda,Bahasa Indonesia
,,,,,,,,,,,,,,,,,,,,,,
,SRATZR,1976,Jawa Barat - Kabupaten Bandung,Perempuan,,,Ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
7 Dec UN #6,RCOAEG,55, ,Perempuan,Orang tua,,Ibu,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Sunda,MULU,Jawa Barat - Kabupaten Garut,Jawa Barat - Kota Bandung,PNS,Islam,29,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Jawa,perguruan tinggi,Jawa Tengah - Kabupaten Blora,Jawa Barat - Kota Bandung,swasta,Islam,26,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Ibu dari ibu,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,SD,Jawa Barat - Kabupaten Garut,Jawa Barat - Kota Bandung,ibu rumah tangga,Islam,1909,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,Bahasa Padang,Bahasa Indonesia
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,Bahasa Indonesia,Bahasa Padang,Bahasa Indonesia,Bahasa Indonesia,,Bahasa Indonesia,Padang,Perguruan tinggi,Sumatera Utara - Kota Medan,Jawa Barat - Kota Bandung,swasta,Islam,56,,
,,,,,,,,,,,,,,,,,,,,,,
,UZFNOY,1976,Jawa Barat - Kabupaten Bandung,Perempuan,Orang tua,12-24,Ibu,"Bahasa indonesia, bahasa sunda",Bahasa indonesia,,"Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda",Cina,Sma,Banten - Kota Serang,Jawa Barat - Kabupaten Bandung,Ibu rumah tangga,Islam,1956,Bahasa indonesia,"Bahasa cina, belanda"
,,,,,,,Bapak,"Bahasa indonesia, bahasa sunda",Bahasa Sunda,"Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda",Sunda,Sma,Jawa Barat - Kabupaten Garut,Jawa Barat - Kabupaten Bandung,Karyawan perusahaan swasta,Islam,1951,Bahasa Sunda,"Bahasa indonesia, bahasa sunda"
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
7 Dec UN #9,BCUYLZ,23, ,Perempuan,Orang tua,,Ibu,Bahasa Indonesia,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,SMA,Jawa Barat - Kabupaten Garut,Jawa Barat - Kota Bandung,ibu rumah tangga,Islam,1960,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Bapak,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,S1 ,Jawa Barat - Kabupaten Tasikmalaya,Jawa Barat - Kota Bandung,PNS,Islam,1958,Bahasa Sunda,Bahasa Indonesia
,,,,,,,Ibu dari ibu,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,, , ,,,,,
,,,,,,,Bapak dari ibu,Bahasa Sunda,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,, , ,,,,,
,,,,,,,Ibu dari bapak,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,, , ,,,,,
,,,,,,,Bapak dari bapak,Bahasa Sunda,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
7 Dec UN #10,VEDUDK,29, ,Perempuan,Orang tua,,Ibu,Bahasa Jawa,Bahasa Jawa,,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,SMEA (setingkat),Jawa Timur - Kabupaten Madiun,Jawa Barat - Kabupaten Garut,ibu rumah tangga,Islam,1954,Bahasa Jawa,"Bahasa Indonesia, Bahasa Sunda"
