session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs
YSVVHS,1964,Sumatera Utara - Kabupaten Mandailing Natal,Laki,Orang tua,1-2,Bahasa Mandailing,Bahasa Mandailing,Bahasa Mandailing,Bahasa Mandailing,Bahasa Mandailing,Bahasa Mandailing,Mandailing,SD,Sumatera Utara - Kabupaten Mandailing Natal,Sumatera Utara - Kota Medan,Petani,Islam,1925,Bahasa Mandailing,Bahasa Mandailing,,,,,,,,, , ,,,,Bahasa Mandailing,Bahasa Mandailing,,Bahasa Mandailing,,,,,Mandailing,,Sumatera Utara - Kabupaten Mandailing Natal, ,,Islam,,Bahasa Mandailing,Bahasa Mandailing,,Bahasa Mandailing,,,,,Mandailing,,Sumatera Utara - Kabupaten Mandailing Natal, ,,Islam,,Bahasa Mandailing,Bahasa Mandailing,,Bahasa Mandailing,,,,,Mandailing,,Sumatera Utara - Kabupaten Mandailing Natal, ,,Islam,,Bahasa Mandailing,Bahasa Mandailing,,Bahasa Mandailing,,,,,Mandailing,,Sumatera Utara - Kabupaten Mandailing Natal, ,,Islam,,Bahasa Mandailing,Bahasa Indonesia
KTXAPZ,1986,Jawa Barat - Kota Bekasi,Laki,Ibu,lebih dari 24,,Bahasa Betawi,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Betawi,Sarjana,Jawa Barat - Kota Bekasi,Jawa Barat - Kota Bekasi,,Islam,1969,Bahasa Betawi,"Bahasa Arab, Bahasa Jawa",,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda",Sunda,Sarjana,Jawa Barat - Kota Cirebon,Jawa Barat - Kota Bekasi,,Islam,1966,Bahasa Sunda,Bahasa Arab,,Bahasa Betawi,,,,,Betawi,, , ,,Islam,1910,,,,Bahasa Betawi,,,,,Betawi,, , ,,Islam,1914,,,,Bahasa Sunda,,,,,Sunda,, , ,,Islam,1910,,,,Bahasa Sunda,,,,,Sunda,, , ,,Islam,1910,,
URPLCK,1970,DKI Jakarta,Laki,Orang tua,3-5,Bahasa Indonesia,Bahasa Betawi,,"Bahasa Indonesia, Bahasa Betawi",Bahasa Indonesia,Bahasa Indonesia,"Betawi, Arab",SMP,DKI Jakarta,DKI Jakarta,,Islam,1936,Bahasa Betawi,Bahasa Indonesia,Bahasa Indonesia,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa, Bahasa Arab",Arab,Akademi Perawatan,Jawa Tengah - Kota Tegal,DKI Jakarta,,Islam,1928,Bahasa Jawa,Bahasa Arab,,,,,,,,, , ,,,,Bahasa Bangka,"Bahasa Indonesia, Bahasa Inggris, Bahasa Sunda, Bahasa Belanda",,,,,,,,, , ,,,,Bahasa Indonesia,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
WXOJJO,1974,DKI Jakarta - Kota Administrasi Jakarta Timur,Perempuan,Orang tua,12-24,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Jawa, Bahasa Indonesia",Jawa,,#NAME?,DKI Jakarta,Ibu rumah tangga,Islam,1931,Bahasa Jawa,Bahasa Indonesia,Bahasa Betawi,Bahasa Betawi,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Betawi",Betawi,HIS,DKI Jakarta,DKI Jakarta,Wiraswasta,Islam,1930,Bahasa Betawi,Bahasa Indonesia,,,,,,,,, , ,,,,Bahasa Indonesia,Bahasa Jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
USZMFP,1972,Banten - Kota Tangerang,Perempuan,Orang tua,3-5,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,SMA,Jawa Timur,Banten - Kota Tangerang,Guru SMA,Islam,1937,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,Sarjana,#NAME?, ,Pegawai negeri,Islam,1934,Bahasa Jawa,Bahasa Indonesia,,,,,,,Jawa,, , ,,Islam,,Bahasa Jawa,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
ULRVRU,1985,Jambi - Kota Jambi,Perempuan,Orang tua,3-5,Bahasa Jambi,Bahasa Jawa,"Bahasa Jambi, Bahasa Indonesia",Bahasa Jambi,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Jawa,S2,#NAME?,Jambi - Kota Jambi,Dosen,Islam,1962,Bahasa Jawa,Bahasa Jambi,Bahasa Jambi,Bahasa Jawa,"Bahasa Jambi, Bahasa Indonesia",Bahasa Jambi,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Jawa,S3,#NAME?,Jambi - Kota Jambi,Dosen,Islam,1952,Bahasa Jawa,Bahasa Jambi,,Bahasa Jawa,,Bahasa Jawa,,Bahasa Jawa,Jawa,SD,#NAME?,#NAME?,,Islam,1920,Bahasa Jawa,Bahasa Jambi,,Bahasa Jawa,,,,,Jawa,SMA,#NAME?,#NAME?,Polisi,Islam,1920,Bahasa Jawa,Bahasa Jambi,,Bahasa Jawa,,Bahasa Jambi,,Bahasa Jambi,Jawa,SD,#NAME?,Jambi - Kota Jambi,,Islam,1920,Bahasa Jawa,Bahasa Jambi,,Bahasa Jawa,,,,,Jawa,SMA,#NAME?,Jambi - Kota Jambi,Pegawai badan pertanahan,Islam,1920,Bahasa Jawa,Bahasa Jambi
WDCPKT,42, ,Perempuan,Orang tua,,Bahasa Indonesia,Bahasa Jawa,,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,SMEA,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Jawa Barat - Kota Bandung,Ibu rumah tangga,Islam,1947,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Jawa,STM,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Jawa Barat - Kota Bandung,Swasta,Islam,1944,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,petani,Islam,,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,petani,Islam,,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,petani,Islam,,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta, ,petani,Islam,,Bahasa Sunda,
QNKUEZ,34, ,Perempuan,Orang tua,,Bahasa Sunda,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Sunda,Univ,Jawa Barat - Kabupaten Tasikmalaya,Jawa Barat - Kota Bandung,Ibu rumah tangga,Islam,1949,Bahasa Sunda,"Bahasa Indonesia, Bahasa Belanda",Bahasa Sunda,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Sunda,Univ,Jawa Barat - Kabupaten Tasikmalaya,Jawa Barat - Kota Bandung,PNS,Islam,1946,Bahasa Sunda,"Bahasa Indonesia, Bahasa Inggris",,Bahasa Sunda,Bahasa Belanda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Tasikmalaya, ,ibu rumah tangga,Islam,1920,Bahasa Sunda,Bahasa Belanda,,Bahasa Sunda,Bahasa Belanda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Tasikmalaya, ,Camat,Islam,1920,Bahasa Sunda,Bahasa Belanda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Tasikmalaya, ,ibu rumah tangga,Islam,1920,Bahasa Sunda,Bahasa Indonesia,,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Tasikmalaya, ,guru,Islam,1920,Bahasa Sunda,Bahasa Belanda
NFZLNF,27, ,Perempuan,Orang tua,,Bahasa Sunda,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Indonesia,"Bahasa Sunda, Bahasa Indonesia",Sunda,S2,Jawa Barat - Kabupaten Sumedang,Jawa Barat - Kabupaten Sumedang,Dosen,Islam,1963,Bahasa Sunda,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Jawa,Jawa,S1,Jawa Barat - Kabupaten Indramayu,Jawa Barat - Kabupaten Indramayu,PNS (guru),Islam,1963,Bahasa Jawa,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,SR,Jawa Barat - Kabupaten Sumedang,Jawa Barat - Kabupaten Sumedang,Tani,Islam,,Bahasa Sunda,Bahasa Indonesia,,Bahasa Sunda,,,,,Sunda,SR,Jawa Barat - Kabupaten Sumedang, ,Tani,Islam,,Bahasa Sunda,,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Barat - Kabupaten Indramayu,Jawa Barat - Kabupaten Indramayu,Tani,Islam,,Bahasa Jawa,,,Bahasa Jawa,,,,,Jawa,,Jawa Barat - Kabupaten Indramayu, ,Tani,Islam,,Bahasa Jawa,
JEYOCX,30, ,Perempuan,Orang tua,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Sunda,SMP,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,Housewife,Islam,1961,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,Sunda,SD,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,Pedagang,Islam,1954,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,Pendidikan Dasar,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,Pendidikan Dasar,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,Pendidikan Dasar,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,Pendidikan Dasar,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Indonesia
JTDHGU,51, ,Perempuan,Orang tua,,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,SMA,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,ibu rumah tangga,Islam,1933,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Sunda,Akademik,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bandung,Pegawai swasta,Islam,1932,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Garut,Jawa Barat - Kota Bandung,,Islam,,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,,Islam,,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kota Bogor,Jawa Barat - Kota Bogor,,Islam,,Bahasa Sunda,Bahasa Sunda
SRATZR,1976,Jawa Barat - Kabupaten Bandung,Perempuan,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
RCOAEG,55, ,Perempuan,Orang tua,,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Sunda,MULU,Jawa Barat - Kabupaten Garut,Jawa Barat - Kota Bandung,PNS,Islam,29,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Jawa,perguruan tinggi,Jawa Tengah - Kabupaten Blora,Jawa Barat - Kota Bandung,swasta,Islam,26,Bahasa Jawa,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,SD,Jawa Barat - Kabupaten Garut,Jawa Barat - Kota Bandung,ibu rumah tangga,Islam,1909,Bahasa Sunda,Bahasa Indonesia,,,,,,,,, , ,,,,Bahasa Padang,Bahasa Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
UZFNOY,1976,Jawa Barat - Kabupaten Bandung,Perempuan,Orang tua,12-24,"Bahasa indonesia, bahasa sunda",Bahasa indonesia,,"Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda",Cina,Sma,Banten - Kota Serang,Jawa Barat - Kabupaten Bandung,Ibu rumah tangga,Islam,1956,Bahasa indonesia,"Bahasa cina, belanda","Bahasa indonesia, bahasa sunda",Bahasa Sunda,"Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda","Bahasa indonesia, bahasa sunda",Sunda,Sma,Jawa Barat - Kabupaten Garut,Jawa Barat - Kabupaten Bandung,Karyawan perusahaan swasta,Islam,1951,Bahasa Sunda,"Bahasa indonesia, bahasa sunda",,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
BCUYLZ,23, ,Perempuan,Orang tua,,Bahasa Indonesia,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,SMA,Jawa Barat - Kabupaten Garut,Jawa Barat - Kota Bandung,ibu rumah tangga,Islam,1960,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,S1,Jawa Barat - Kabupaten Tasikmalaya,Jawa Barat - Kota Bandung,PNS,Islam,1958,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,, , ,,,,,,Bahasa Sunda,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,, , ,,,,,,Bahasa Sunda,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,, , ,,,,,,Bahasa Sunda,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,,, , ,,,,,
VEDUDK,29, ,Perempuan,Orang tua,,Bahasa Jawa,Bahasa Jawa,,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,SMEA (setingkat),Jawa Timur - Kabupaten Madiun,Jawa Barat - Kabupaten Garut,ibu rumah tangga,Islam,1954,Bahasa Jawa,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Bahasa Jawa,Bahasa Jawa,Jawa,STM (setingkat),Jawa Timur - Kabupaten Madiun,Jawa Barat - Kabupaten Garut,PNS di lingkungan ABRI,Islam,1946,Bahasa Jawa,"Bahasa Indonesia, Bahasa Sunda",Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Timur - Kabupaten Madiun,Jawa Timur - Kabupaten Madiun,ibu rumah tangga,Islam,,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Timur - Kabupaten Madiun,Jawa Timur - Kabupaten Madiun,Pegawai BUMN,Islam,,Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,,Jawa Timur - Kabupaten Madiun,Jawa Timur - Kabupaten Madiun,ibu rumah tangga,Islam,,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Timur - Kabupaten Madiun,Jawa Timur - Kabupaten Madiun,Petani,Islam,,Bahasa Jawa,
GRBUMM,51, ,Perempuan,Orang tua,,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,,Bahasa Indonesia,Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,SMA,Jawa Tengah - Kota Semarang,Jawa Barat - Kota Bandung,Ibu rumah tangga,Islam,1936,Bahasa Jawa,"Bahasa Belanda, Bahasa Indonesia","Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,,Bahasa Indonesia,Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,SMA,Jawa Tengah - Kota Semarang,Jawa Barat - Kota Bandung,Pegawai swasta,Islam,1934,Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",,,,,,,Sunda,, , ,,Islam,,Bahasa Jawa,Bahasa Indonesia,,,,,,,Sunda,, , ,,,,,,,,,,,,Jawa,, , ,,,,,,,,,,,,Jawa,, , ,,,,,
ZBHIEX,33, ,Perempuan,orang tua,,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Sunda,SMA,Jawa Barat - Kabupaten Ciamis,Jawa Barat - Kabupaten Sumedang,ibu rumah tangga,Islam,1945,Bahasa Sunda,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Sunda,S1,"Banten - Kabupaten Lebak, Rangkasbitung",#NAME?,Waspendais JABAR,Islam,1930,Bahasa Sunda,"Bahasa Inggris, Bahasa Belanda, Bahasa Jepang",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,SMA,Jawa Barat - Kabupaten Ciamis, ,ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Indonesia,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,Sarjana Teknik,Jawa Barat - Kabupaten Ciamis, ,Penilik,Islam,,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Campur,Kalimantan,SMA,#NAME?, ,ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,Campur,Palembang,ABRI,Sumatera Selatan - Kota Palembang, ,Tentara,Islam,,Bahasa Sunda,Bahasa Indonesia
UJXDTZ,30, ,Laki,Orang tua,,Bahasa Nias,Bahasa Nias,"Bahasa Nias, Bahasa Indonesia","Bahasa Nias, Bahasa Indonesia",Bahasa Nias,Campur,Nias,SD,Sumatera Utara - Kabupaten Nias,Lampung,Tani,Kristen (Protestan),64,Bahasa Nias,Bahasa Indonesia,,Bahasa Nias,"Bahasa Nias, Bahasa Indonesia",Bahasa Nias,,Campur,Nias,SMA,Sumatera Utara - Kabupaten Nias, ,Tani,Kristen (Protestan),55,Bahasa Nias,Bahasa Indonesia,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,,, , ,,,,Bahasa Nias,,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,,, , ,,,,Bahasa Nias,,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,,, , ,,,,Bahasa Nias,,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,Bahasa Nias,,, , ,,,,Bahasa Nias,
UQZYZV,28, ,Laki,Orang tua,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,SD,Jawa Timur,Lampung,Tani,Islam,1945,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,SD,Jawa Timur,Lampung,Tani,Islam,1944,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,SD,Jawa Timur,Jawa Timur,Tani,Islam,,Bahasa Jawa,Bahasa Indonesia,,Bahasa Jawa,,,,,Jawa,SD,Jawa Timur,Jawa Timur,Tani,Islam,,Bahasa Jawa,Bahasa Indonesia,,Bahasa Jawa,,,,,Jawa,SD,Jawa Timur,Lampung,Tani,Kristen (Protestan),,Bahasa Jawa,Bahasa Indonesia,,Bahasa Jawa,,,,,Jawa,SD,Jawa Timur,Lampung,Tani,Kristen (Protestan),,Bahasa Jawa,Bahasa Indonesia
